,index,0
0,issue_d,datetime64[ns]
1,loan_amnt,float64
2,funded_amnt,float64
3,funded_amnt_inv,float64
4,term,object
5,installment,float64
6,grade,object
7,emp_length,object
8,home_ownership,object
9,annual_inc,float64
10,verification_status,object
11,loan_status,object
12,pymnt_plan,object
13,purpose,object
14,title,object
15,dti,float64
16,delinq_2yrs,float64
17,earliest_cr_line,datetime64[ns]
18,fico_range_low,float64
19,fico_range_high,float64
20,inq_last_6mths,float64
21,open_acc,float64
22,pub_rec,float64
23,revol_bal,float64
24,revol_util,float64
25,total_acc,float64
26,initial_list_status,object
27,out_prncp,float64
28,out_prncp_inv,float64
29,total_pymnt,float64
30,total_pymnt_inv,float64
31,total_rec_prncp,float64
32,total_rec_int,float64
33,total_rec_late_fee,float64
34,recoveries,float64
35,collection_recovery_fee,float64
36,last_pymnt_d,datetime64[ns]
37,last_pymnt_amnt,float64
38,next_pymnt_d,datetime64[ns]
39,last_credit_pull_d,datetime64[ns]
40,last_fico_range_high,float64
41,last_fico_range_low,float64
42,collections_12_mths_ex_med,float64
43,application_type,object
44,annual_inc_joint,float64
45,dti_joint,float64
46,verification_status_joint,object
47,acc_now_delinq,float64
48,tot_coll_amt,float64
49,tot_cur_bal,float64
50,open_acc_6m,float64
51,open_act_il,float64
52,open_il_12m,float64
53,open_il_24m,float64
54,mths_since_rcnt_il,float64
55,total_bal_il,float64
56,il_util,float64
57,open_rv_12m,float64
58,open_rv_24m,float64
59,max_bal_bc,float64
60,all_util,float64
61,total_rev_hi_lim,float64
62,inq_fi,float64
63,total_cu_tl,float64
64,inq_last_12m,float64
65,acc_open_past_24mths,float64
66,avg_cur_bal,float64
67,bc_open_to_buy,float64
68,bc_util,float64
69,chargeoff_within_12_mths,float64
70,delinq_amnt,float64
71,mo_sin_old_il_acct,float64
72,mo_sin_old_rev_tl_op,float64
73,mo_sin_rcnt_rev_tl_op,float64
74,mo_sin_rcnt_tl,float64
75,mort_acc,float64
76,mths_since_recent_bc,float64
77,mths_since_recent_inq,float64
78,num_accts_ever_120_pd,float64
79,num_actv_bc_tl,float64
80,num_actv_rev_tl,float64
81,num_bc_sats,float64
82,num_bc_tl,float64
83,num_il_tl,float64
84,num_op_rev_tl,float64
85,num_rev_accts,float64
86,num_rev_tl_bal_gt_0,float64
87,num_sats,float64
88,num_tl_120dpd_2m,float64
89,num_tl_30dpd,float64
90,num_tl_90g_dpd_24m,float64
91,num_tl_op_past_12m,float64
92,pct_tl_nvr_dlq,float64
93,percent_bc_gt_75,float64
94,pub_rec_bankruptcies,float64
95,tax_liens,float64
96,tot_hi_cred_lim,float64
97,total_bal_ex_mort,float64
98,total_bc_limit,float64
99,total_il_high_credit_limit,float64
100,revol_bal_joint,bool
101,hardship_flag,object
102,disbursement_method,object
103,debt_settlement_flag,object
104,sec_app_flag,bool
